지역,상호,주소,상표,전화번호,셀프여부,고급휘발유,휘발유,경유,실내등유
부산광역시,은마석유(주) 대영주유소,부산 기장군 정관면 정관로 249,GS칼텍스,051-728-5133,Y,-,1465,1645,-
부산광역시,공단신도시주유소,부산 기장군 정관면 정관로 835,현대오일뱅크,051-728-4686,Y,-,1475,1639,1550
부산광역시,백운1주유소,부산 기장군 정관면 정관로 779,GS칼텍스,051-728-4433,Y,-,1478,1639,1500
부산광역시,솔밭주유소,부산 기장군 장안읍 하근3길 8,SK에너지,051-727-7277,Y,-,1485,1735,1500
부산광역시,창암2주유소,부산 기장군 정관면 신정관로 188,자가상표,051-727-3332,N,-,1489,1639,-
부산광역시,창암주유소,부산 기장군 정관면 신정관로 188,S-OIL,051-727-3332,Y,-,1489,1629,-
부산광역시,오성주유소,부산 기장군 일광면 일광로 722,현대오일뱅크,051-728-8851,N,-,1495,1675,1500
부산광역시,부경셀프주유소,부산 기장군 기장읍 반송로 1407,알뜰주유소,051-721-5181,Y,-,1495,1655,-
부산광역시,하영주유소,부산 기장군 기장읍 반송로 1517,GS칼텍스,051-722-3370,Y,-,1495,1665,-
부산광역시,기분조은주유소,부산 기장군 정관면 정관로 787,SK에너지,051-728-5166,Y,-,1495,1639,1600
부산광역시,(주)천일에너지 천일주유소,부산 기장군 신정관로 183,현대오일뱅크,051-728-7866,Y,-,1495,1664,-
부산광역시,내리주유소,부산 기장군 기장읍 기장대로 84,현대오일뱅크,051-722-7363,Y,-,1495,1631,1550
부산광역시,정관신도시주유소/충전소,부산 기장군 정관면 정관로 901,SK에너지,051-727-6228,Y,-,1495,1639,1500
부산광역시,월드컵주유소,부산 기장군 일광면 기장대로 1230,알뜰주유소,051-727-1212,Y,-,1498,1635,-
부산광역시,뉴장안IC주유소,부산 기장군 장안읍 좌동길 45,S-OIL,051-728-3838,Y,-,1498,1665,1600
부산광역시,장안IC(상)주유소,부산 기장군 장안읍 기장대로 1586,SK에너지,051-728-6161,Y,-,1498,1678,-
부산광역시,명례주유소,부산 기장군 장안읍 기장대로 2217,현대오일뱅크,051-727-5120,N,-,1498,1675,1500
부산광역시,안평주유소,부산 기장군 철마면 반송로 1300,S-OIL,051-722-7979,N,-,1498,1698,1500
부산광역시,선암주유소,부산 기장군 장안읍 기장대로 1453,알뜰주유소,051-727-1212,Y,-,1498,1635,1500
